  Year    TDT-UT1    error     LOD      error
1713.000     21        7         0       31
1713.500     21        8         0       25
1714.000     21        7         0       33
1714.500     21        9         0       26
1715.000     21        7         0       33
1715.500     21        8         0       27
1716.000     21        9         0       29
1716.500     21       10         1       35
1717.000     21        7         1       39
1717.500     21        8         0       26
1718.000     21        6         0       30
1718.500     21        8         0       24
1719.000     21        6         0       29
1719.500     21        7         0       23
1720.000     21.1      5.7      -0.2     27.4
1720.500     21.0      5.1      -0.3     22.2
1721.000     21.0      5.5      -0.3     19.6
1721.500     21.0      6.0      -0.3     21.3
1722.000     20.9      6.6      -0.4     23.4
1722.500     20.8      7.1      -0.6     25.5
1723.000     20.7      7.5      -0.8     27.4
1723.500     20.6      7.8      -0.9     29.0
1724.000     20.4      8.1      -1.1     30.3
1724.500     20.2      8.3      -1.3     31.3
1725.000     20.0      8.4      -1.4     32.1
1725.500     19.7      8.6      -1.6     32.7
1726.000     19.4      8.8      -1.9     33.2
1726.500     19.1      9.0      -2.1     33.9
1727.000     18.7      4.9      -2.3     34.9
1727.500     18.3      4.4      -2.3     18.9
1728.000     17.8      5.2      -2.1     17.0
1728.500     17.4      6.3      -1.8     20.2
1729.000     17.0      4.1      -1.5     24.4
1729.500     16.8      3.3      -1.3     15.8
1730.000     16.6      3.6      -1.2     12.8
1730.500     16.4      3.9      -1.2     13.8
1731.000     16.1      4.3      -1.2     15.1
1731.500     15.9      4.7      -1.2     16.5
1732.000     15.7      5.1      -1.2     18.1
1732.500     15.5      5.6      -1.4     19.8
1733.000     15.3      3.2      -1.5     21.6
1733.500     15.0      2.8      -1.4     12.4
1734.000     14.7      3.3      -1.2     10.8
1734.500     14.5      3.7      -1.0     12.8
1735.000     14.3      4.1      -0.6     14.5
1735.500     14.2      4.3      -0.3     15.7
1736.000     14.1      2.5      -0.2     16.8
1736.500     14.1      2.4      -0.4      9.7
1737.000     14.1      1.8      -0.7      9.3
1737.500     13.9      1.8      -0.8      7.0
1738.000     13.7      1.4      -0.6      7.0
1738.500     13.6      1.6      -0.4      5.3
1739.000     13.5      1.3      -0.3      6.2
1739.500     13.5      2.8      -0.2      5.0
1740.000     13.5      3.5      -0.1     10.8
1740.500     13.5      4.3      -0.2     13.6
1741.000     13.4      4.9      -0.2     16.6
1741.500     13.4      5.4      -0.2     19.1
1742.000     13.4      5.7      -0.2     21.0
1742.500     13.4      5.9      -0.2     22.2
1743.000     13.3      5.8      -0.2     22.7
1743.500     13.3      5.6      -0.2     22.6
1744.000     13.2      5.2      -0.2     21.7
1744.500     13.2      4.8      -0.2     20.3
1745.000     13.2      4.2      -0.2     18.4
1745.500     13.1      3.8      -0.2     16.3
1746.000     13.1      2.4      -0.1     14.6
1746.500     13.1      2.9       0.1      9.3
1747.000     13.0      2.3       0.4     11.2
1747.500     13.2      2.5       0.6      9.1
1748.000     13.3      3.1       0.7      9.6
1748.500     13.4      3.6       0.6     11.8
1749.000     13.5      4.1       0.6     14.1
1749.500     13.6      4.4       0.5     15.9
1750.000     13.7      4.6       0.5     17.2
1750.500     13.8      4.6       0.4     17.8
1751.000     13.9      4.5       0.4     17.9
1751.500     14.0      4.3       0.3     17.4
1752.000     14.0      4.0       0.3     16.6
1752.500     14.1      3.8       0.2     15.6
1753.000     14.1      2.2       0.2     14.8
1753.500     14.1      2.3       0.3      8.4
1754.000     14.1      1.8       0.4      9.1
1754.500     14.2      1.9       0.4      7.1
1755.000     14.3      2.2       0.4      7.2
1755.500     14.4      2.5       0.4      8.6
1756.000     14.4      2.6       0.3      9.6
1756.500     14.5      2.8       0.3     10.2
1757.000     14.6      1.7       0.3     10.7
1757.500     14.6      1.9       0.2      6.4
1758.000     14.7      1.6       0.2      7.5
1758.500     14.7      1.9       0.2      6.0
1759.000     14.7      2.3       0.2      7.3
1759.500     14.8      2.8       0.2      9.1
1760.000     14.8      3.2       0.3     10.9
1760.500     14.9      3.4       0.3     12.3
1761.000     14.9      3.6       0.3     13.3
1761.500     15.0      3.5       0.4     13.7
1762.000     15.0      3.4       0.4     13.7
1762.500     15.1      3.2       0.4     13.3
1763.000     15.2      3.0       0.5     12.5
1763.500     15.3      2.8       0.5     11.6
1764.000     15.4      1.6       0.5     10.8
1764.500     15.5      1.9       0.4      6.4
1765.000     15.6      1.5       0.4      7.5
1765.500     15.6      1.9       0.5      6.0
1766.000     15.6      1.5       0.7      7.4
1766.500     15.8      1.4       0.5      6.0
1767.000     15.9      1.0       0.1      5.3
1767.500     15.9      1.2      -0.2      3.8
1768.000     15.9      0.9      -0.3      4.5
1768.500     15.8      1.2      -0.3      3.5
1769.000     15.7      0.9      -0.1      4.5
1769.500     15.8      1.2      -0.1      3.6
1770.000     15.7      0.9      -0.2      4.5
1770.500     15.7      1.1       0.0      3.6
1771.000     15.7      0.9       0.3      4.4
1771.500     15.8      1.2       0.6      3.5
1772.000     15.9      1.0       0.7      4.7
1772.500     16.1      1.1       0.3      3.8
1773.000     16.1      0.9      -0.3      4.3
1773.500     16.0      0.8      -0.5      3.4
1774.000     15.9      0.6      -0.6      3.2
1774.500     15.9      1.2      -0.8      2.3
1775.000     15.7      1.0      -1.0      4.7
1775.500     15.4      1.4      -0.6      3.9
1776.000     15.3      1.2       0.0      5.6
1776.500     15.4      1.8       0.4      4.6
1777.000     15.5      1.5       0.4      6.9
1777.500     15.6      1.8       0.2      5.7
1778.000     15.6      1.4       0.1      7.0
1778.500     15.6      1.8       0.0      5.6
1779.000     15.6      1.5       0.0      6.9
1779.500     15.6      1.6      -0.1      5.6
1780.000     15.6      1.9      -0.1      6.1
1780.500     15.6      2.2      -0.2      7.4
1781.000     15.5      2.3      -0.3      8.4
1781.500     15.5      2.4      -0.4      9.1
1782.000     15.4      2.4      -0.5      9.3
1782.500     15.3      2.4      -0.6      9.2
1783.000     15.2      1.4      -0.7      9.1
1783.500     15.1      1.7      -0.8      5.4
1784.000     14.9      1.3      -0.9      6.5
1784.500     14.8      1.7      -0.9      5.2
1785.000     14.6      1.4      -0.9      6.7
1785.500     14.4      1.8      -0.8      5.3
1786.000     14.3      1.5      -0.6      7.0
1786.500     14.2      1.7      -0.1      5.7
1787.000     14.1      1.3       0.3      6.5
1787.500     14.2      1.1      -0.2      5.1
1788.000     14.2      0.7      -1.1      4.2
1788.500     13.9      1.0      -1.3      2.8
1789.000     13.7      0.8      -1.2      3.7
1789.500     13.5      1.0      -1.0      3.0
1790.000     13.3      0.8      -0.7      3.9
1790.500     13.1      1.3      -0.3      3.2
1791.000     13.0      1.1       0.0      5.0
1791.500     13.2      1.8       0.0      4.1
1792.000     13.2      1.5       0.0      7.0
1792.500     13.1      1.8       0.1      5.9
1793.000     13.1      1.4       0.4      7.0
1793.500     13.2      1.8       0.6      5.6
1794.000     13.3      1.5       0.5      7.0
1794.500     13.5      1.9       0.1      5.6
1795.000     13.5      1.5      -0.3      7.3
1795.500     13.4      2.3      -0.5      5.8
1796.000     13.2      1.9      -0.4      9.0
1796.500     13.2      2.4      -0.3      7.4
1797.000     13.1      1.9      -0.4      9.3
1797.500     13.1      2.3      -0.6      7.5
1798.000     13.0      1.9      -0.8      9.1
1798.500     12.8      2.1      -0.7      7.2
1799.000     12.6      1.7      -0.6      8.3
1799.500     12.7      2.4      -0.7      6.5
1800.000     12.6      1.9      -0.9      9.2
1800.500     12.3      2.4      -1.1      7.5
1801.000     12.0      2.0      -1.0      9.4
1801.500     11.9      2.4      -0.9      7.6
1802.000     11.8      1.9      -0.9      9.3
1802.500     11.6      2.5      -1.0      7.4
1803.000     11.4      2.0      -0.9      9.8
1803.500     11.2      2.3      -0.6      7.9
1804.000     11.1      1.8      -0.2      9.0
1804.500     11.1      2.2       0.0      7.0
1805.000     11.1      1.8       0.1      8.5
1805.500     11.1      1.8       0.1      6.8
1806.000     11.1      2.1       0.1      6.9
1806.500     11.2      2.4       0.1      8.2
1807.000     11.1      1.5       0.2      9.4
1807.500     11.1      2.0       0.5      6.0
1808.000     11.2      1.6       0.8      7.7
1808.500     11.4      1.5       0.3      6.2
1809.000     11.5      1.1      -0.2      5.7
1809.500     11.3      1.2      -0.2      4.2
1810.000     11.2      1.5       0.5      4.8
1810.500     11.4      1.0       0.9      5.9
1811.000     11.7      2.1       0.8      4.1
1811.500     11.9      1.8       0.4      8.3
1812.000     11.9      2.6      -0.1      7.0
1812.500     11.9      2.2      -0.2     10.2
1813.000     11.8      2.6      -0.1      8.3
1813.500     11.7      2.1       0.0     10.3
1814.000     11.8      2.6       0.0      8.2
1814.500     11.8      2.1      -0.1     10.2
1815.000     11.8      2.7      -0.2      8.3
1815.500     11.7      3.1      -0.3     10.4
1816.000     11.6      3.5      -0.4     12.2
1816.500     11.6      2.4      -0.4     13.7
1817.000     11.5      3.0      -0.3      9.3
1817.500     11.5      2.4      -0.3     11.5
1818.000     11.4      2.9      -0.2      9.2
1818.500     11.4      2.3      -0.3     11.2
1819.000     11.3      2.8      -0.4      8.9
1819.500     11.3      2.2      -0.3     10.8
1820.000     11.13     2.15     -0.48     8.61
1820.500     11.16     1.60     -0.86     8.34
1821.000     10.94     1.86     -1.48     6.21
1821.500     10.72     1.47     -1.85     7.20
1822.000     10.29     1.14     -1.38     5.68
1822.500     10.04     0.75     -0.62     4.42
1823.000      9.94     0.68     -0.28     2.92
1823.500      9.91     0.48     -0.20     2.62
1824.000      9.88     1.07     -0.28     1.86
1824.500      9.86     0.91     -0.43     4.14
1825.000      9.72     1.16     -0.34     3.54
1825.500      9.67     0.93     -0.17     4.49
1826.000      9.66     1.04     -0.25     3.60
1826.500      9.64     0.81     -0.51     4.04
1827.000      9.51     1.31     -0.74     3.13
1827.500      9.40     1.10     -0.96     5.09
1828.000      9.21     1.06     -1.37     4.25
1828.500      9.00     0.79     -1.76     4.11
1829.000      8.60     0.96     -1.84     3.05
1829.500      8.29     0.77     -1.65     3.73
1830.000      7.95     0.88     -1.28     2.98
1830.500      7.73     0.69     -0.89     3.41
1831.000      7.59     1.11     -0.67     2.66
1831.500      7.49     0.92     -0.64     4.29
1832.000      7.36     1.53     -0.66     3.55
1832.500      7.26     1.27     -0.68     5.91
1833.000      7.10     1.59     -0.64     4.93
1833.500      7.00     1.27     -0.56     6.14
1834.000      6.89     1.56     -0.49     4.91
1834.500      6.82     1.25     -0.49     6.05
1835.000      6.73     1.27     -0.80     4.84
1835.500      6.64     0.97     -1.11     4.92
1836.000      6.39     0.52     -0.74     3.75
1836.500      6.28     0.12     -0.09     2.01
1837.000      6.25     0.24     -0.02     0.48
1837.500      6.27     0.21      0.01     0.94
1838.000      6.25     0.28     -0.03     0.80
1838.500      6.27     0.23     -0.10     1.08
1839.000      6.22     0.27     -0.04     0.87
1839.500      6.24     0.21      0.04     1.03
1840.000      6.22     0.28      0.13     0.81
1840.500      6.27     0.23      0.28     1.08
1841.000      6.30     0.22      0.19     0.87
1841.500      6.36     0.16      0.08     0.86
1842.000      6.35     0.59     -0.02     0.61
1842.500      6.37     0.51     -0.10     2.28
1843.000      6.32     0.64     -0.04     1.98
1843.500      6.33     0.51      0.07     2.49
1844.000      6.33     0.72      0.11     1.99
1844.500      6.37     0.59      0.11     2.81
1845.000      6.37     0.69      0.09     2.30
1845.500      6.41     0.54      0.07     2.66
1846.000      6.40     0.47      0.11     2.11
1846.500      6.44     0.33      0.20     1.81
1847.000      6.46     0.41      0.13     1.28
1847.500      6.51     0.33      0.01     1.59
1848.000      6.48     0.41      0.06     1.27
1848.500      6.51     0.33      0.17     1.61
1849.000      6.53     0.57      0.14     1.28
1849.500      6.58     0.47      0.07     2.20
1850.000      6.55     0.70      0.22     1.84
1850.500      6.61     0.58      0.45     2.71
1851.000      6.69     0.73      0.48     2.23
1851.500      6.80     0.58      0.41     2.82
1852.000      6.84     0.76      0.44     2.26
1852.500      6.94     0.61      0.49     2.95
1853.000      7.03     0.87      0.42     2.37
1853.500      7.13     0.71      0.29     3.38
1854.000      7.15     0.84      0.26     2.77
1854.500      7.22     0.66      0.26     3.23
1855.000      7.26     0.81      0.09     2.55
1855.500      7.30     0.65     -0.16     3.14
1856.000      7.23     0.74     -0.14     2.50
1856.500      7.22     0.58      0.03     2.87
1857.000      7.21     0.49     -0.27     2.26
1857.500      7.20     0.34     -0.82     1.91
1858.000      6.99     0.37     -0.17     1.33
1858.500      6.98     0.28      0.72     1.45
1859.000      7.19     0.71      0.73     1.08
1859.500      7.36     0.61      0.25     2.74
1860.000      7.35     0.70      0.12     2.36
1860.500      7.39     0.51      0.19     2.70
1861.000      7.41     0.49      0.07     1.97
1861.500      7.45     0.44     -0.41     1.89
1862.000      7.36     0.32     -1.04     1.71
1862.500      7.18     0.18     -1.18     1.24
1863.000      6.95     0.06     -1.34     0.69
1863.500      6.72     0.08     -1.37     0.22
1864.000      6.45     0.06     -1.30     0.29
1864.500      6.24     0.22     -1.60     0.22
1865.000      5.92     0.19     -1.92     0.84
1865.500      5.59     0.21     -2.30     0.73
1866.000      5.15     0.16     -2.78     0.80
1866.500      4.67     0.14     -2.95     0.62
1867.000      4.11     0.09     -3.27     0.53
1867.500      3.52     0.26     -3.06     0.36
1868.000      2.94     0.22     -2.72     1.00
1868.500      2.47     0.24     -2.64     0.86
1869.000      1.97     0.18     -2.56     0.93
1869.500      1.52     0.28     -2.54     0.72
1870.000      1.04     0.23     -2.52     1.08
1870.500      0.60     0.38     -2.54     0.89
1871.000      0.11     0.31     -2.58     1.45
1871.500     -0.34     0.36     -2.52     1.21
1872.000     -0.82     0.29     -2.45     1.41
1872.500     -1.25     0.37     -2.34     1.11
1873.000     -1.70     0.30     -2.22     1.44
1873.500     -2.08     0.38     -2.10     1.16
1874.000     -2.48     0.31     -1.96     1.48
1874.500     -2.82     0.24     -1.89     1.19
1875.000     -3.19     0.16     -1.85     0.95
1875.500     -3.50     0.22     -1.75     0.63
1876.000     -3.84     0.18     -1.73     0.86
1876.500     -4.14     0.25     -1.45     0.69
1877.000     -4.43     0.20     -1.05     0.95
1877.500     -4.59     0.16     -0.96     0.78
1878.000     -4.79     0.10     -0.84     0.61
1878.500     -4.92     0.11     -0.80     0.40
1879.000     -5.09     0.08     -0.91     0.41
1879.500     -5.24     0.14     -0.55     0.31
1880.000     -5.36     0.12     -0.04     0.55
1880.500     -5.34     0.11      0.01     0.46
1881.000     -5.37     0.08      0.13     0.44
1881.500     -5.32     0.12      0.02     0.33
1882.000     -5.34     0.10     -0.08     0.45
1882.500     -5.33     0.11     -0.24     0.37
1883.000     -5.40     0.09     -0.51     0.43
1883.500     -5.47     0.12     -0.48     0.33
1884.000     -5.58     0.10     -0.57     0.46
1884.500     -5.66     0.12     -0.28     0.37
1885.000     -5.74     0.09      0.15     0.46
1885.500     -5.68     0.08      0.12     0.36
1886.000     -5.69     0.06      0.09     0.32
1886.500     -5.65     0.05     -0.01     0.23
1887.000     -5.67     0.03     -0.17     0.19
1887.500     -5.68     0.08     -0.15     0.12
1888.000     -5.73     0.07     -0.11     0.33
1888.500     -5.72     0.10     -0.15     0.28
1889.000     -5.78     0.08     -0.19     0.39
1889.500     -5.79     0.08     -0.27     0.32
1890.000     -5.86     0.06     -0.31     0.30
1890.500     -5.89     0.07     -0.49     0.22
1891.000     -6.01     0.06     -0.78     0.27
1891.500     -6.13     0.11     -0.74     0.22
1892.000     -6.28     0.09     -0.84     0.41
1892.500     -6.41     0.12     -0.47     0.34
1893.000     -6.53     0.10      0.03     0.47
1893.500     -6.49     0.11      0.12     0.38
1894.000     -6.50     0.08      0.11     0.42
1894.500     -6.45     0.08      0.38     0.33
1895.000     -6.41     0.06      0.67     0.32
1895.500     -6.26     0.12      0.94     0.23
1896.000     -6.11     0.10      1.04     0.45
1896.500     -5.90     0.11      1.65     0.38
1897.000     -5.63     0.09      2.55     0.43
1897.500     -5.13     0.09      2.59     0.34
1898.000     -4.68     0.07      2.60     0.35
1898.500     -4.19     0.05      2.67     0.27
1899.000     -3.72     0.02      2.66     0.18
1899.500     -3.21     0.08      2.93     0.10
1900.000     -2.70     0.07      3.21     0.31
1900.500     -2.09     0.06      3.46     0.27
1901.000     -1.48     0.04      3.89     0.23
1901.500     -0.75     0.07      3.81     0.16
1902.000     -0.08     0.05      3.69     0.25
1902.500      0.62     0.06      3.65     0.21
1903.000      1.26     0.04      3.61     0.22
1903.500      1.95     0.06      3.63     0.17
1904.000      2.59     0.05      3.69     0.23
1904.500      3.28     0.12      3.62     0.19
1905.000      3.92     0.11      3.61     0.48
1905.500      4.61     0.18      3.36     0.41
1906.000      5.20     0.15      2.83     0.70
1906.500      5.73     0.20      3.19     0.59
1907.000      6.29     0.17      3.75     0.79
1907.500      7.00     0.13      3.85     0.64
1908.000      7.68     0.09      4.10     0.50
1908.500      8.45     0.09      3.83     0.33
1909.000      9.13     0.06      3.45     0.33
1909.500      9.78     0.12      3.43     0.25
1910.000     10.38     0.10      3.22     0.47
1910.500     10.99     0.16      3.67     0.39
1911.000     11.64     0.13      4.41     0.62
1911.500     12.47     0.13      4.27     0.51
1912.000     13.23     0.10      4.13     0.51
1912.500     14.00     0.09      3.91     0.39
1913.000     14.69     0.06      3.65     0.33
1913.500     15.38     0.06      3.49     0.23
1914.000     16.00     0.04      3.38     0.22
1914.500     16.64     0.06      3.13     0.16
1915.000     17.19     0.05      2.79     0.24
1915.500     17.72     0.05      2.70     0.20
1916.000     18.19     0.03      2.52     0.18
1916.500     18.67     0.10      2.62     0.13
1917.000     19.13     0.08      2.94     0.37
1917.500     19.69     0.18      2.57     0.32
1918.000     20.14     0.16      2.09     0.70
1918.500     20.54     0.13      1.85     0.60
1919.000     20.86     0.09      1.46     0.51
1919.500     21.14     0.21      1.59     0.35
1920.000     21.41     0.18      1.90     0.82
1920.500     21.78     0.22      1.64     0.70
1921.000     22.06     0.17      1.21     0.84
1921.500     22.30     0.15      1.26     0.67
1922.000     22.51     0.11      1.40     0.58
1922.500     22.79     0.07      1.33     0.42
1923.000     23.01     0.04      1.41     0.28
1923.500     23.29     0.05      1.04     0.16
1924.000     23.46     0.04      0.39     0.19
1924.500     23.55     0.05      0.57     0.15
1925.000     23.63     0.04      0.76     0.20
1925.500     23.80     0.07      0.95     0.16
1926.000     23.95     0.06      1.54     0.27
1926.500     24.25     0.09      0.88     0.22
1927.000     24.39     0.07      0.01     0.34
1927.500     24.42     0.05     -0.27     0.29
1928.000     24.34     0.03     -0.79     0.19
1928.500     24.22     0.02     -0.56     0.10
1929.000     24.10     0.02     -0.23     0.09
1929.500     24.08     0.01     -0.19     0.06
1930.000     24.02     0.00     -0.05     0.04
1930.500     24.04     0.01     -0.15     0.01
1931.000     23.98     0.01     -0.54     0.06
1931.500     23.91     0.02      0.00     0.05
1932.000     23.89     0.02      0.20     0.08
1932.500     23.95     0.02      0.06     0.07
1933.000     23.93     0.02     -0.22     0.08
1933.500     23.92     0.02     -0.10     0.06
1934.000     23.88     0.02      0.21     0.08
1934.500     23.94     0.03     -0.04     0.06
1935.000     23.91     0.02     -0.62     0.10
1935.500     23.82     0.03     -0.21     0.08
1936.000     23.76     0.02      0.48     0.11
1936.500     23.87     0.02      0.34     0.09
1937.000     23.91     0.02      0.13     0.09
1937.500     23.95     0.02      0.17     0.06
1938.000     23.96     0.01      0.08     0.06
1938.500     24.00     0.04      0.38     0.05
1939.000     24.04     0.04      0.83     0.05
1939.500     24.20     0.04      0.95     0.11
1940.000     24.35     0.03      1.29     0.08
1940.500     24.61     0.02      1.30     0.04
1941.000     24.82     0.01      1.30     0.08
1941.500     25.09     0.01      1.29     0.07
1942.000     25.30     0.01      1.23     0.17
1942.500     25.56     0.01      1.30     0.21
1943.000     25.77     0.01      1.38     0.11
1943.500     26.05     0.02      1.43     0.19
1944.000     26.27     0.01      1.52     0.19
1944.500     26.54     0.02      1.44     0.24
1945.000     26.76     0.01      1.16     0.81
1945.500     27.04     0.02      1.29     0.85
1946.000     27.27     0.01      1.25     0.94
1946.500     27.55     0.01      1.40     1.07
1947.000     27.77     0.01      1.30     1.20
1947.500     28.03     0.01      1.24     0.84
1948.000     28.25     0.01      1.22     0.87
1948.500     28.50     0.01      1.19     0.93
1949.000     28.70     0.01      1.23     1.04
1949.500     28.95     0.01      1.13     1.13
1950.000     29.15     0.01      1.21     0.74
1950.500     29.38     0.01      1.19     0.81
1951.000     29.57     0.01      1.24     0.84
1951.500     29.80     0.01      1.04     0.89
1952.000     29.97     0.01      1.05     1.12
1952.500     30.19     0.01      0.94     0.89
1953.000     30.36     0.01      1.10     0.97
1953.500     30.57     0.01      1.03     0.12
1954.000     30.72     0.01      0.91     0.09
1954.500     30.93     0.01      0.64     0.10
1955.000     31.07     0.01      0.74     0.11
1955.500     31.24     0.01      1.37     0.01
1956.000     31.349    0.003     0.27     0.03
1956.500     31.516    0.003     0.99     0.12
1957.000     31.677    0.003     0.99     0.15
1957.500     31.923    0.003     1.36     0.16
1958.000     32.166    0.003     1.57     0.11
1958.500     32.449    0.003     1.37     0.18
1959.000     32.671    0.003     1.42     0.12
1959.500     32.919    0.003     1.39     0.08
1960.000     33.150    0.003     1.26     0.10
1960.500     33.397    0.003     1.06     0.11
1961.000     33.584    0.003     1.01     0.19
1961.500     33.804    0.003     1.29     0.10
1962.000     33.992    0.001     1.15     0.07
1962.500     34.240    0.001     1.23     0.03
1963.000     34.466    0.001     1.05     0.03
1963.500     34.731    0.001     1.41     0.05
1964.000     35.030    0.001     1.92     0.02
1964.500     35.400    0.001     1.82     0.03
1965.000     35.738    0.001     1.88     0.03
1965.500     36.147    0.001     2.30     0.02
1966.000     36.546    0.001     2.23     0.03
1966.500     36.995    0.001     2.38     0.03
1967.000     37.429    0.001     2.22     0.03
1967.500     37.879    0.001     2.36     0.02
1968.000     38.291    0.001     2.44     0.03
1968.500     38.753    0.001     2.64     0.03
1969.000     39.204    0.001     2.38     0.03
1969.500     39.707    0.001     2.66     0.02
1970.000     40.182    0.001     2.74     0.02
1970.500     40.706    0.001     2.64     0.02
1971.000     41.170    0.001     2.43     0.03
1971.500     41.686    0.001     3.10     0.03
1972.000     42.227    0.001     2.94     0.03
1972.500     42.825    0.001     3.19     0.02
1973.000     43.373    0.001     3.04     0.02
1973.500     43.959    0.001     3.08     0.02
1974.000     44.486    0.001     2.41     0.03
1974.500     44.997    0.001     2.71     0.02
1975.000     45.477    0.001     2.62     0.03
1975.500     45.983    0.001     2.64     0.03
1976.000     46.458    0.001     2.65     0.03
1976.500     46.997    0.001     3.02     0.05
1977.000     47.521    0.001     2.63     0.03
1977.500     48.034    0.001     2.59     0.03
1978.000     48.535    0.001     2.99     0.03
1978.500     49.099    0.001     2.60     0.04
1979.000     49.589    0.001     2.73     0.02
1979.500     50.102    0.001     2.66     0.02
1980.000     50.540    0.001     2.34     0.02
1980.500     50.975    0.001     2.33     0.02
1981.000     51.382    0.001     2.19     0.02
1981.500     51.810    0.001     2.11     0.02
1982.000     52.168    0.001     1.95     0.02
1982.500     52.572    0.001     2.12     0.03
1983.000     52.957    0.001     2.60     0.03
1983.500     53.434    0.001     2.14     0.04
1984.000     53.789    0.001     1.46     0.03
1984.500     54.087    0.001     1.45     0.04
